epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.805,1.3547,1.72186,1.29553,0.98625,0.98417,0.99161,0.90837,0.82723,0.67594,1.10654,0.000368864,0.000368864,0.000368864
2,85.1717,0.78408,0.61225,1.01601,0.9978,0.99307,0.99467,0.93425,0.59955,0.52788,0.96196,0.000495262,0.000495262,0.000495262
3,124.682,0.6677,0.53583,0.94888,0.99681,0.99717,0.99494,0.94438,0.54161,0.46487,0.91287,0.00037724,0.00037724,0.00037724
