epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1632.03,0.41272,0.2912,0.80914,0.99908,0.99839,0.995,0.98413,0.28205,0.23243,0.7573,0.00898525,0.00898525,0.00898525
43,1671.78,0.40913,0.28859,0.80935,0.99884,0.99857,0.995,0.9862,0.25859,0.22199,0.75292,0.0089605,0.0089605,0.0089605
44,1710.73,0.40615,0.28705,0.80902,0.99907,0.99873,0.995,0.98651,0.25211,0.22213,0.75375,0.00893575,0.00893575,0.00893575
45,1749.24,0.40137,0.2851,0.80875,0.99892,0.99865,0.995,0.98473,0.26895,0.23002,0.75263,0.008911,0.008911,0.008911
46,1787.69,0.40051,0.28295,0.8089,0.99907,0.99851,0.995,0.98543,0.26561,0.22687,0.75578,0.00888625,0.00888625,0.00888625
47,1826.38,0.39621,0.28089,0.80707,0.99901,0.99839,0.995,0.9852,0.27431,0.22744,0.75874,0.0088615,0.0088615,0.0088615
48,1865.04,0.39553,0.28038,0.80785,0.99924,0.99843,0.995,0.9847,0.25674,0.22226,0.75844,0.00883675,0.00883675,0.00883675
49,1903.51,0.39377,0.27959,0.80958,0.9993,0.99857,0.995,0.98726,0.24665,0.2133,0.75445,0.008812,0.008812,0.008812
50,1941.71,0.38956,0.27753,0.80708,0.99898,0.9984,0.995,0.98554,0.27094,0.22016,0.75365,0.00878725,0.00878725,0.00878725
51,1979.84,0.38875,0.27484,0.80771,0.99888,0.9985,0.995,0.98793,0.23316,0.20996,0.75051,0.0087625,0.0087625,0.0087625
52,2018.56,0.38383,0.27273,0.80666,0.99902,0.99837,0.995,0.98762,0.24095,0.21046,0.75237,0.00873775,0.00873775,0.00873775
53,2057.22,0.38188,0.27119,0.8062,0.99888,0.99842,0.995,0.98779,0.23805,0.20851,0.74914,0.008713,0.008713,0.008713
54,2095.72,0.38195,0.27181,0.80613,0.99901,0.9988,0.995,0.9885,0.23089,0.20566,0.75037,0.00868825,0.00868825,0.00868825
55,2134.27,0.37702,0.26872,0.80593,0.999,0.99878,0.995,0.98813,0.23716,0.2048,0.74892,0.0086635,0.0086635,0.0086635
56,2172.15,0.37996,0.26958,0.80538,0.999,0.99892,0.995,0.98846,0.23113,0.20152,0.75013,0.00863875,0.00863875,0.00863875
57,2209.65,0.37459,0.26755,0.80578,0.99898,0.9986,0.995,0.98885,0.22261,0.19853,0.74976,0.008614,0.008614,0.008614
58,2246.78,0.36775,0.26443,0.80547,0.99911,0.99869,0.995,0.9872,0.24468,0.20535,0.75046,0.00858925,0.00858925,0.00858925
59,2284.02,0.37009,0.26523,0.80433,0.99904,0.99875,0.995,0.98855,0.22361,0.19822,0.74869,0.0085645,0.0085645,0.0085645
60,2321.17,0.36656,0.26182,0.80489,0.99876,0.99881,0.995,0.98801,0.22666,0.1966,0.74912,0.00853975,0.00853975,0.00853975
61,2358.68,0.36708,0.26198,0.80438,0.99882,0.99867,0.995,0.98877,0.2201,0.19632,0.74753,0.008515,0.008515,0.008515
