epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0151,3.09393,4.12239,2.17486,0,0,0,0,2.83508,4.1651,1.69648,1e-05,1e-05,1e-05
2,33.7453,2.83393,4.0731,1.98894,0,0,0,0,2.78676,4.16436,1.67292,2.406e-05,2.406e-05,2.406e-05
3,42.7651,2.79725,4.02653,1.98227,0,0,0,0,2.80709,4.17562,1.67318,3.02e-05,3.02e-05,3.02e-05
4,51.6682,2.61652,4.00222,1.80846,0,0,0,0,2.75632,4.18235,1.62867,2.842e-05,2.842e-05,2.842e-05
5,60.4163,2.70992,4.00246,1.77361,0,0,0,0,2.60891,4.17337,1.5804,1.872e-05,1.872e-05,1.872e-05
